"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 19:23:47 GMT 2021","Thu Aug 12 19:23:48 GMT 2021","626","tests","test_001","","","","test_cookie",""
"passed","Thu Aug 12 19:23:56 GMT 2021","Thu Aug 12 19:23:56 GMT 2021","28","tests","test_003","","","","test_002_user_check",""
"broken","Thu Aug 12 19:23:50 GMT 2021","Thu Aug 12 19:23:50 GMT 2021","3","tests","test_002","","","","test_user_check",""
"passed","Thu Aug 12 19:24:18 GMT 2021","Thu Aug 12 19:24:34 GMT 2021","15948","tests","test_first","","","","test_new_blogpost",""
"failed","Thu Aug 12 19:23:56 GMT 2021","Thu Aug 12 19:23:56 GMT 2021","17","tests","test_003","","","","test_003_log_out",""
"broken","Thu Aug 12 19:23:48 GMT 2021","Thu Aug 12 19:23:50 GMT 2021","2006","tests","test_002","","","","test_sign_in",""
"passed","Thu Aug 12 19:23:56 GMT 2021","Thu Aug 12 19:24:12 GMT 2021","15832","tests","test_first","","","","test_registration",""
"passed","Thu Aug 12 19:24:12 GMT 2021","Thu Aug 12 19:24:18 GMT 2021","6435","tests","test_first","","","","test_sign_in",""
"passed","Thu Aug 12 19:23:50 GMT 2021","Thu Aug 12 19:23:56 GMT 2021","5554","tests","test_003","","","","test_001_sign_in",""
