"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 10:17:49 GMT 2021","Sun Aug 15 10:17:49 GMT 2021","43","tests","test_002","","","","test_003_log_out",""
"passed","Sun Aug 15 10:17:41 GMT 2021","Sun Aug 15 10:17:49 GMT 2021","8254","tests","test_002","","","","test_001_sign_in",""
"passed","Sun Aug 15 10:17:32 GMT 2021","Sun Aug 15 10:17:41 GMT 2021","8261","tests","test_001","","","","test_002_sign_in",""
"passed","Sun Aug 15 10:17:24 GMT 2021","Sun Aug 15 10:17:32 GMT 2021","8247","tests","sign_in_test","","","","test_sign_in",""
"passed","Sun Aug 15 10:17:52 GMT 2021","Sun Aug 15 10:21:48 GMT 2021","235639","tests","test_003","","","","test_002_new_blog_post",""
"passed","Sun Aug 15 10:17:49 GMT 2021","Sun Aug 15 10:17:49 GMT 2021","23","tests","test_002","","","","test_002_user_check",""
"failed","Sun Aug 15 10:17:15 GMT 2021","Sun Aug 15 10:17:24 GMT 2021","8445","tests","registration_test","","","","test_registration",""
"passed","Sun Aug 15 10:17:32 GMT 2021","Sun Aug 15 10:17:32 GMT 2021","373","tests","test_001","","","","test_001_cookie",""
"passed","Sun Aug 15 10:17:49 GMT 2021","Sun Aug 15 10:17:52 GMT 2021","3247","tests","test_003","","","","test_001_login",""
