"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 15:53:03 GMT 2021","Fri Aug 13 15:53:09 GMT 2021","6511","tests","test_first","","","","test_sign_in",""
"passed","Fri Aug 13 15:52:16 GMT 2021","Fri Aug 13 15:52:17 GMT 2021","417","tests","test_001","","","","test_002_cookie",""
"passed","Fri Aug 13 15:52:25 GMT 2021","Fri Aug 13 15:52:33 GMT 2021","8289","tests","test_002","","","","test_001_sign_in",""
"broken","Fri Aug 13 15:52:42 GMT 2021","Fri Aug 13 15:52:47 GMT 2021","5019","tests","test_003","","","","test_001_new_blog_post",""
"passed","Fri Aug 13 15:52:33 GMT 2021","Fri Aug 13 15:52:42 GMT 2021","8259","tests","test_003","","","","test_001_sign_in",""
"passed","Fri Aug 13 15:52:33 GMT 2021","Fri Aug 13 15:52:33 GMT 2021","26","tests","test_002","","","","test_002_user_check",""
"passed","Fri Aug 13 15:52:17 GMT 2021","Fri Aug 13 15:52:25 GMT 2021","8311","tests","test_001","","","","test_002_sign_in",""
"passed","Fri Aug 13 15:53:09 GMT 2021","Fri Aug 13 15:53:25 GMT 2021","16014","tests","test_first","","","","test_new_blogpost",""
"passed","Fri Aug 13 15:52:33 GMT 2021","Fri Aug 13 15:52:33 GMT 2021","61","tests","test_002","","","","test_003_log_out",""
"passed","Fri Aug 13 15:52:47 GMT 2021","Fri Aug 13 15:53:03 GMT 2021","15801","tests","test_first","","","","test_registration",""
"broken","Fri Aug 13 15:52:47 GMT 2021","Fri Aug 13 15:52:47 GMT 2021","16","tests","test_003","","","","test_003_log_out",""
