"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 21:16:55 GMT 2021","Fri Aug 13 21:17:00 GMT 2021","5015","tests","test_003","","","","test_002_new_blog_post",""
"passed","Fri Aug 13 21:16:33 GMT 2021","Fri Aug 13 21:16:41 GMT 2021","8284","tests","test_001","","","","test_002_sign_in",""
"passed","Fri Aug 13 21:16:33 GMT 2021","Fri Aug 13 21:16:33 GMT 2021","376","tests","test_001","","","","test_001_cookie",""
"passed","Fri Aug 13 21:17:22 GMT 2021","Fri Aug 13 21:17:38 GMT 2021","15918","tests","test_first","","","","test_new_blogpost",""
"passed","Fri Aug 13 21:16:50 GMT 2021","Fri Aug 13 21:16:50 GMT 2021","55","tests","test_002","","","","test_003_log_out",""
"passed","Fri Aug 13 21:16:41 GMT 2021","Fri Aug 13 21:16:50 GMT 2021","8250","tests","test_002","","","","test_001_sign_in",""
"passed","Fri Aug 13 21:17:16 GMT 2021","Fri Aug 13 21:17:22 GMT 2021","6462","tests","test_first","","","","test_sign_in",""
"passed","Fri Aug 13 21:16:50 GMT 2021","Fri Aug 13 21:16:50 GMT 2021","24","tests","test_002","","","","test_002_user_check",""
"broken","Fri Aug 13 21:16:50 GMT 2021","Fri Aug 13 21:16:55 GMT 2021","5014","tests","test_003","","","","test_sign_in",""
"passed","Fri Aug 13 21:16:24 GMT 2021","Fri Aug 13 21:16:33 GMT 2021","8336","tests","sign_in_test","","","","test_sign_in",""
"passed","Fri Aug 13 21:17:00 GMT 2021","Fri Aug 13 21:17:16 GMT 2021","15684","tests","test_first","","","","test_registration",""
