"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 10:48:28 GMT 2021","Fri Aug 13 10:48:43 GMT 2021","15827","tests","test_first","","","","test_new_blogpost",""
"broken","Fri Aug 13 10:48:05 GMT 2021","Fri Aug 13 10:48:05 GMT 2021","12","tests","test_003","","","","test_003_log_out",""
"passed","Fri Aug 13 10:47:55 GMT 2021","Fri Aug 13 10:47:55 GMT 2021","427","tests","test_001","","","","test_cookie",""
"passed","Fri Aug 13 10:48:06 GMT 2021","Fri Aug 13 10:48:21 GMT 2021","15693","tests","test_first","","","","test_registration",""
"passed","Fri Aug 13 10:48:21 GMT 2021","Fri Aug 13 10:48:28 GMT 2021","6453","tests","test_first","","","","test_sign_in",""
"broken","Fri Aug 13 10:48:05 GMT 2021","Fri Aug 13 10:48:05 GMT 2021","14","tests","test_003","","","","test_002_user_check",""
"broken","Fri Aug 13 10:48:00 GMT 2021","Fri Aug 13 10:48:05 GMT 2021","5015","tests","test_003","","","","test_001_sign_in",""
"broken","Fri Aug 13 10:47:55 GMT 2021","Fri Aug 13 10:48:00 GMT 2021","5018","tests","test_002","","","","test_001_sign_in",""
