"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 19:42:48 GMT 2021","Sat Aug 14 19:42:48 GMT 2021","28","tests","test_002","","","","test_002_user_check",""
"passed","Sat Aug 14 19:42:48 GMT 2021","Sat Aug 14 19:42:48 GMT 2021","85","tests","test_002","","","","test_003_log_out",""
"passed","Sat Aug 14 19:42:22 GMT 2021","Sat Aug 14 19:42:31 GMT 2021","8314","tests","sign_in_test","","","","test_sign_in",""
"passed","Sat Aug 14 19:42:31 GMT 2021","Sat Aug 14 19:42:31 GMT 2021","426","tests","test_001","","","","test_001_cookie",""
"passed","Sat Aug 14 19:42:31 GMT 2021","Sat Aug 14 19:42:40 GMT 2021","8305","tests","test_001","","","","test_002_sign_in",""
"broken","Sat Aug 14 19:42:51 GMT 2021","Sat Aug 14 19:42:56 GMT 2021","5128","tests","test_003","","","","test_002_new_blog_post",""
"passed","Sat Aug 14 19:42:40 GMT 2021","Sat Aug 14 19:42:48 GMT 2021","8295","tests","test_002","","","","test_001_sign_in",""
"passed","Sat Aug 14 19:42:48 GMT 2021","Sat Aug 14 19:42:51 GMT 2021","3296","tests","test_003","","","","test_001_login",""
