"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 12:19:11 GMT 2021","Fri Aug 13 12:19:27 GMT 2021","15979","tests","test_first","","","","test_new_blogpost",""
"broken","Fri Aug 13 12:18:49 GMT 2021","Fri Aug 13 12:18:49 GMT 2021","19","tests","test_003","","","","test_002_user_check",""
"broken","Fri Aug 13 12:18:39 GMT 2021","Fri Aug 13 12:18:44 GMT 2021","5020","tests","test_002","","","","test_001_sign_in",""
"passed","Fri Aug 13 12:18:31 GMT 2021","Fri Aug 13 12:18:39 GMT 2021","8280","tests","test_001","","","","test_001_sign_in",""
"passed","Fri Aug 13 12:19:05 GMT 2021","Fri Aug 13 12:19:11 GMT 2021","6502","tests","test_first","","","","test_sign_in",""
"passed","Fri Aug 13 12:18:30 GMT 2021","Fri Aug 13 12:18:31 GMT 2021","408","tests","test_001","","","","test_cookie",""
"broken","Fri Aug 13 12:18:44 GMT 2021","Fri Aug 13 12:18:49 GMT 2021","5016","tests","test_003","","","","test_001_sign_in",""
"passed","Fri Aug 13 12:18:49 GMT 2021","Fri Aug 13 12:19:05 GMT 2021","15774","tests","test_first","","","","test_registration",""
"broken","Fri Aug 13 12:18:49 GMT 2021","Fri Aug 13 12:18:49 GMT 2021","15","tests","test_003","","","","test_003_log_out",""
