"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 11:18:18 GMT 2021","Wed Aug 18 11:18:18 GMT 2021","27","tests","delete_article_test","","","","test_002_user_check",""
"broken","Wed Aug 18 11:18:29 GMT 2021","Wed Aug 18 11:18:31 GMT 2021","1077","tests","delete_article_test","","","","test_004_user_page",""
"passed","Wed Aug 18 11:19:39 GMT 2021","Wed Aug 18 11:19:47 GMT 2021","8268","tests","test_002","","","","test_001_sign_in",""
"passed","Wed Aug 18 11:19:47 GMT 2021","Wed Aug 18 11:19:47 GMT 2021","43","tests","test_002","","","","test_003_log_out",""
"passed","Wed Aug 18 11:19:14 GMT 2021","Wed Aug 18 11:19:19 GMT 2021","5245","tests","save_data_frm_ui_test","","","","test_001_sign_in",""
"passed","Wed Aug 18 11:19:03 GMT 2021","Wed Aug 18 11:19:14 GMT 2021","11384","tests","registration_test","","","","test_registration",""
"passed","Wed Aug 18 11:18:18 GMT 2021","Wed Aug 18 11:18:29 GMT 2021","11381","tests","delete_article_test","","","","test_003_new_blog_post",""
"passed","Wed Aug 18 11:19:47 GMT 2021","Wed Aug 18 11:19:50 GMT 2021","3255","tests","test_003","","","","test_001_login",""
"passed","Wed Aug 18 11:18:59 GMT 2021","Wed Aug 18 11:19:03 GMT 2021","4026","tests","multiple_page_list_test","","","","test_005_pages",""
"passed","Wed Aug 18 11:18:37 GMT 2021","Wed Aug 18 11:18:37 GMT 2021","24","tests","mod_existing_data_test","","","","test_002_user_check",""
"passed","Wed Aug 18 11:19:20 GMT 2021","Wed Aug 18 11:19:22 GMT 2021","2110","tests","save_data_frm_ui_test","","","","test_003_save_data",""
"passed","Wed Aug 18 11:18:53 GMT 2021","Wed Aug 18 11:18:57 GMT 2021","3250","tests","multiple_page_list_test","","","","test_001_sign_in",""
"passed","Wed Aug 18 11:18:57 GMT 2021","Wed Aug 18 11:18:59 GMT 2021","2050","tests","multiple_page_list_test","","","","test_003_user_page",""
"passed","Wed Aug 18 11:19:22 GMT 2021","Wed Aug 18 11:19:30 GMT 2021","8253","tests","sign_in_test","","","","test_sign_in",""
"passed","Wed Aug 18 11:19:47 GMT 2021","Wed Aug 18 11:19:47 GMT 2021","24","tests","test_002","","","","test_002_user_check",""
"passed","Wed Aug 18 11:19:19 GMT 2021","Wed Aug 18 11:19:20 GMT 2021","23","tests","save_data_frm_ui_test","","","","test_002_user_check",""
"broken","Wed Aug 18 11:18:31 GMT 2021","Wed Aug 18 11:18:32 GMT 2021","1013","tests","delete_article_test","","","","test_005_delete_article",""
"passed","Wed Aug 18 11:19:30 GMT 2021","Wed Aug 18 11:19:39 GMT 2021","8257","tests","test_001","","","","test_002_sign_in",""
"passed","Wed Aug 18 11:19:50 GMT 2021","Wed Aug 18 11:23:46 GMT 2021","235641","tests","test_003","","","","test_002_new_blog_post",""
"passed","Wed Aug 18 11:19:30 GMT 2021","Wed Aug 18 11:19:30 GMT 2021","391","tests","test_001","","","","test_001_cookie",""
"passed","Wed Aug 18 11:18:32 GMT 2021","Wed Aug 18 11:18:37 GMT 2021","5249","tests","mod_existing_data_test","","","","test_001_sign_in",""
"passed","Wed Aug 18 11:18:37 GMT 2021","Wed Aug 18 11:18:53 GMT 2021","16597","tests","mod_existing_data_test","","","","test_003_mod_data",""
"passed","Wed Aug 18 11:18:57 GMT 2021","Wed Aug 18 11:18:57 GMT 2021","24","tests","multiple_page_list_test","","","","test_002_user_check",""
"passed","Wed Aug 18 11:18:15 GMT 2021","Wed Aug 18 11:18:18 GMT 2021","3257","tests","delete_article_test","","","","test_001_sign_in",""
