"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 11:35:25 GMT 2021","Fri Aug 13 11:35:25 GMT 2021","16","tests","test_003","","","","test_002_user_check",""
"passed","Fri Aug 13 11:35:25 GMT 2021","Fri Aug 13 11:35:41 GMT 2021","15935","tests","test_first","","","","test_registration",""
"broken","Fri Aug 13 11:35:25 GMT 2021","Fri Aug 13 11:35:25 GMT 2021","19","tests","test_003","","","","test_003_log_out",""
"passed","Fri Aug 13 11:35:47 GMT 2021","Fri Aug 13 11:36:03 GMT 2021","16155","tests","test_first","","","","test_new_blogpost",""
"passed","Fri Aug 13 11:35:41 GMT 2021","Fri Aug 13 11:35:47 GMT 2021","6616","tests","test_first","","","","test_sign_in",""
"broken","Fri Aug 13 11:35:19 GMT 2021","Fri Aug 13 11:35:24 GMT 2021","5017","tests","test_003","","","","test_001_sign_in",""
"passed","Fri Aug 13 11:35:14 GMT 2021","Fri Aug 13 11:35:14 GMT 2021","550","tests","test_001","","","","test_cookie",""
"broken","Fri Aug 13 11:35:14 GMT 2021","Fri Aug 13 11:35:19 GMT 2021","5019","tests","test_002","","","","test_001_sign_in",""
