"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 19:50:54 GMT 2021","Sat Aug 14 19:50:54 GMT 2021","27","tests","test_002","","","","test_002_user_check",""
"passed","Sat Aug 14 19:50:45 GMT 2021","Sat Aug 14 19:50:54 GMT 2021","8309","tests","test_002","","","","test_001_sign_in",""
"passed","Sat Aug 14 19:50:54 GMT 2021","Sat Aug 14 19:50:57 GMT 2021","3290","tests","test_003","","","","test_001_login",""
"broken","Sat Aug 14 19:50:57 GMT 2021","Sat Aug 14 19:51:02 GMT 2021","5121","tests","test_003","","","","test_002_new_blog_post",""
"passed","Sat Aug 14 19:50:28 GMT 2021","Sat Aug 14 19:50:36 GMT 2021","8534","tests","sign_in_test","","","","test_sign_in",""
"passed","Sat Aug 14 19:50:54 GMT 2021","Sat Aug 14 19:50:54 GMT 2021","90","tests","test_002","","","","test_003_log_out",""
"passed","Sat Aug 14 19:50:36 GMT 2021","Sat Aug 14 19:50:37 GMT 2021","465","tests","test_001","","","","test_001_cookie",""
"passed","Sat Aug 14 19:50:37 GMT 2021","Sat Aug 14 19:50:45 GMT 2021","8355","tests","test_001","","","","test_002_sign_in",""
