"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 14:11:39 GMT 2021","Fri Aug 13 14:11:39 GMT 2021","367","tests","test_001","","","","test_002_cookie",""
"passed","Fri Aug 13 14:11:52 GMT 2021","Fri Aug 13 14:11:52 GMT 2021","19","tests","test_002","","","","test_002_user_check",""
"passed","Fri Aug 13 14:12:16 GMT 2021","Fri Aug 13 14:12:23 GMT 2021","6434","tests","test_first","","","","test_sign_in",""
"passed","Fri Aug 13 14:11:39 GMT 2021","Fri Aug 13 14:11:47 GMT 2021","8261","tests","test_001","","","","test_002_sign_in",""
"broken","Fri Aug 13 14:12:01 GMT 2021","Fri Aug 13 14:12:01 GMT 2021","14","tests","test_003","","","","test_002_user_check",""
"passed","Fri Aug 13 14:12:23 GMT 2021","Fri Aug 13 14:12:39 GMT 2021","15800","tests","test_first","","","","test_new_blogpost",""
"passed","Fri Aug 13 14:12:01 GMT 2021","Fri Aug 13 14:12:16 GMT 2021","15648","tests","test_first","","","","test_registration",""
"broken","Fri Aug 13 14:12:01 GMT 2021","Fri Aug 13 14:12:01 GMT 2021","12","tests","test_003","","","","test_003_log_out",""
"passed","Fri Aug 13 14:11:53 GMT 2021","Fri Aug 13 14:12:01 GMT 2021","8216","tests","test_003","","","","test_001_sign_in",""
"passed","Fri Aug 13 14:11:52 GMT 2021","Fri Aug 13 14:11:53 GMT 2021","50","tests","test_002","","","","test_003_log_out",""
"broken","Fri Aug 13 14:11:47 GMT 2021","Fri Aug 13 14:11:52 GMT 2021","5017","tests","test_002","","","","test_001_sign_in",""
