"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 10:07:01 GMT 2021","Sun Aug 15 10:07:09 GMT 2021","8354","tests","sign_in_test","","","","test_sign_in",""
"passed","Sun Aug 15 10:07:09 GMT 2021","Sun Aug 15 10:07:10 GMT 2021","494","tests","test_001","","","","test_001_cookie",""
"passed","Sun Aug 15 10:07:26 GMT 2021","Sun Aug 15 10:07:27 GMT 2021","97","tests","test_002","","","","test_003_log_out",""
"passed","Sun Aug 15 10:07:18 GMT 2021","Sun Aug 15 10:07:26 GMT 2021","8327","tests","test_002","","","","test_001_sign_in",""
"passed","Sun Aug 15 10:07:30 GMT 2021","Sun Aug 15 10:11:27 GMT 2021","237365","tests","test_003","","","","test_002_new_blog_post",""
"passed","Sun Aug 15 10:07:10 GMT 2021","Sun Aug 15 10:07:18 GMT 2021","8379","tests","test_001","","","","test_002_sign_in",""
"passed","Sun Aug 15 10:07:27 GMT 2021","Sun Aug 15 10:07:30 GMT 2021","3324","tests","test_003","","","","test_001_login",""
"passed","Sun Aug 15 10:07:26 GMT 2021","Sun Aug 15 10:07:26 GMT 2021","28","tests","test_002","","","","test_002_user_check",""
"broken","Sun Aug 15 10:06:52 GMT 2021","Sun Aug 15 10:07:01 GMT 2021","9034","tests","registration_test","","","","test_registration",""
