"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 12 22:14:19 GMT 2021","Thu Aug 12 22:14:19 GMT 2021","16","tests","test_003","","","","test_002_user_check",""
"passed","Thu Aug 12 22:14:41 GMT 2021","Thu Aug 12 22:14:57 GMT 2021","16114","tests","test_first","","","","test_new_blogpost",""
"broken","Thu Aug 12 22:14:19 GMT 2021","Thu Aug 12 22:14:19 GMT 2021","14","tests","test_003","","","","test_003_log_out",""
"passed","Thu Aug 12 22:14:19 GMT 2021","Thu Aug 12 22:14:35 GMT 2021","15909","tests","test_first","","","","test_registration",""
"passed","Thu Aug 12 22:14:35 GMT 2021","Thu Aug 12 22:14:41 GMT 2021","6595","tests","test_first","","","","test_sign_in",""
"broken","Thu Aug 12 22:14:08 GMT 2021","Thu Aug 12 22:14:13 GMT 2021","5018","tests","test_002","","","","test_001_sign_in",""
"passed","Thu Aug 12 22:14:14 GMT 2021","Thu Aug 12 22:14:14 GMT 2021","27","tests","test_002","","","","test_002_user_check",""
"broken","Thu Aug 12 22:14:14 GMT 2021","Thu Aug 12 22:14:19 GMT 2021","5017","tests","test_003","","","","test_001_sign_in",""
"passed","Thu Aug 12 22:14:08 GMT 2021","Thu Aug 12 22:14:08 GMT 2021","591","tests","test_001","","","","test_cookie",""
