"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 15:28:27 GMT 2021","Fri Aug 13 15:28:43 GMT 2021","15835","tests","test_first","","","","test_registration",""
"passed","Fri Aug 13 15:28:13 GMT 2021","Fri Aug 13 15:28:22 GMT 2021","8275","tests","test_003","","","","test_001_sign_in",""
"passed","Fri Aug 13 15:28:43 GMT 2021","Fri Aug 13 15:28:49 GMT 2021","6520","tests","test_first","","","","test_sign_in",""
"broken","Fri Aug 13 15:28:22 GMT 2021","Fri Aug 13 15:28:27 GMT 2021","5018","tests","test_003","","","","test_001_login",""
"passed","Fri Aug 13 15:28:49 GMT 2021","Fri Aug 13 15:29:05 GMT 2021","16010","tests","test_first","","","","test_new_blogpost",""
"broken","Fri Aug 13 15:28:27 GMT 2021","Fri Aug 13 15:28:27 GMT 2021","17","tests","test_003","","","","test_002_new_blog_post",""
"passed","Fri Aug 13 15:28:13 GMT 2021","Fri Aug 13 15:28:13 GMT 2021","37","tests","test_002","","","","test_002_user_check",""
"passed","Fri Aug 13 15:27:56 GMT 2021","Fri Aug 13 15:27:57 GMT 2021","481","tests","test_001","","","","test_002_cookie",""
"broken","Fri Aug 13 15:28:27 GMT 2021","Fri Aug 13 15:28:27 GMT 2021","18","tests","test_003","","","","test_003_log_out",""
"passed","Fri Aug 13 15:28:05 GMT 2021","Fri Aug 13 15:28:13 GMT 2021","8318","tests","test_002","","","","test_001_sign_in",""
"passed","Fri Aug 13 15:27:57 GMT 2021","Fri Aug 13 15:28:05 GMT 2021","8312","tests","test_001","","","","test_002_sign_in",""
"passed","Fri Aug 13 15:28:13 GMT 2021","Fri Aug 13 15:28:13 GMT 2021","86","tests","test_002","","","","test_003_log_out",""
