"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:28:48 GMT 2021","Fri Aug 13 21:28:48 GMT 2021","481","tests","test_001","","","","test_001_cookie",""
"passed","Fri Aug 13 21:28:48 GMT 2021","Fri Aug 13 21:28:56 GMT 2021","8294","tests","test_001","","","","test_002_sign_in",""
"passed","Fri Aug 13 21:29:05 GMT 2021","Fri Aug 13 21:29:05 GMT 2021","50","tests","test_002","","","","test_003_log_out",""
"broken","Fri Aug 13 21:29:05 GMT 2021","Fri Aug 13 21:29:10 GMT 2021","5019","tests","test_003","","","","test_sign_in",""
"passed","Fri Aug 13 21:29:05 GMT 2021","Fri Aug 13 21:29:05 GMT 2021","25","tests","test_002","","","","test_002_user_check",""
"passed","Fri Aug 13 21:28:56 GMT 2021","Fri Aug 13 21:29:05 GMT 2021","8304","tests","test_002","","","","test_001_sign_in",""
"passed","Fri Aug 13 21:29:26 GMT 2021","Fri Aug 13 21:29:32 GMT 2021","6506","tests","test_first","","","","test_sign_in",""
"passed","Fri Aug 13 21:29:10 GMT 2021","Fri Aug 13 21:29:26 GMT 2021","15857","tests","test_first","","","","test_registration",""
"broken","Fri Aug 13 21:29:10 GMT 2021","Fri Aug 13 21:29:10 GMT 2021","16","tests","test_003","","","","test_002_new_blog_post",""
"passed","Fri Aug 13 21:29:32 GMT 2021","Fri Aug 13 21:29:48 GMT 2021","16060","tests","test_first","","","","test_new_blogpost",""
"passed","Fri Aug 13 21:28:39 GMT 2021","Fri Aug 13 21:28:48 GMT 2021","8309","tests","sign_in_test","","","","test_sign_in",""
