"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 13:59:05 GMT 2021","Fri Aug 13 13:59:05 GMT 2021","14","tests","test_003","","","","test_002_user_check",""
"broken","Fri Aug 13 13:59:00 GMT 2021","Fri Aug 13 13:59:05 GMT 2021","5015","tests","test_003","","","","test_002_sign_in",""
"passed","Fri Aug 13 13:59:05 GMT 2021","Fri Aug 13 13:59:21 GMT 2021","15731","tests","test_first","","","","test_registration",""
"passed","Fri Aug 13 13:58:43 GMT 2021","Fri Aug 13 13:58:43 GMT 2021","473","tests","test_001","","","","test_002_cookie",""
"passed","Fri Aug 13 13:59:27 GMT 2021","Fri Aug 13 13:59:43 GMT 2021","15968","tests","test_first","","","","test_new_blogpost",""
"passed","Fri Aug 13 13:58:51 GMT 2021","Fri Aug 13 13:59:00 GMT 2021","8297","tests","test_002","","","","test_001_sign_in",""
"passed","Fri Aug 13 13:59:21 GMT 2021","Fri Aug 13 13:59:27 GMT 2021","6367","tests","test_first","","","","test_sign_in",""
"broken","Fri Aug 13 13:59:05 GMT 2021","Fri Aug 13 13:59:05 GMT 2021","11","tests","test_003","","","","test_003_log_out",""
"passed","Fri Aug 13 13:58:43 GMT 2021","Fri Aug 13 13:58:51 GMT 2021","8275","tests","test_001","","","","test_002_sign_in",""
"passed","Fri Aug 13 13:59:00 GMT 2021","Fri Aug 13 13:59:00 GMT 2021","62","tests","test_002","","","","test_003_log_out",""
"passed","Fri Aug 13 13:59:00 GMT 2021","Fri Aug 13 13:59:00 GMT 2021","23","tests","test_002","","","","test_002_user_check",""
