"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 11:42:15 GMT 2021","Fri Aug 13 11:42:31 GMT 2021","16002","tests","test_first","","","","test_new_blogpost",""
"passed","Fri Aug 13 11:41:42 GMT 2021","Fri Aug 13 11:41:42 GMT 2021","425","tests","test_001","","","","test_cookie",""
"broken","Fri Aug 13 11:41:53 GMT 2021","Fri Aug 13 11:41:53 GMT 2021","13","tests","test_003","","","","test_003_log_out",""
"broken","Fri Aug 13 11:41:53 GMT 2021","Fri Aug 13 11:41:53 GMT 2021","16","tests","test_003","","","","test_002_user_check",""
"passed","Fri Aug 13 11:41:53 GMT 2021","Fri Aug 13 11:42:08 GMT 2021","15778","tests","test_first","","","","test_registration",""
"broken","Fri Aug 13 11:41:42 GMT 2021","Fri Aug 13 11:41:47 GMT 2021","5019","tests","test_002","","","","test_001_sign_in",""
"passed","Fri Aug 13 11:42:08 GMT 2021","Fri Aug 13 11:42:15 GMT 2021","6520","tests","test_first","","","","test_sign_in",""
"broken","Fri Aug 13 11:41:47 GMT 2021","Fri Aug 13 11:41:52 GMT 2021","5012","tests","test_003","","","","test_001_sign_in",""
