"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 15:05:36 GMT 2021","Wed Aug 18 15:09:32 GMT 2021","236542","tests","new_blog_post_test","","","","test_003_new_blog_post",""
"passed","Wed Aug 18 15:04:29 GMT 2021","Wed Aug 18 15:04:42 GMT 2021","13449","tests","delete_article_test","","","","test_003_new_blog_post",""
"passed","Wed Aug 18 15:05:28 GMT 2021","Wed Aug 18 15:05:28 GMT 2021","26","tests","multiple_page_list_test","","","","test_002_user_check",""
"passed","Wed Aug 18 15:05:08 GMT 2021","Wed Aug 18 15:05:25 GMT 2021","16644","tests","mod_existing_data_test","","","","test_003_mod_data",""
"passed","Wed Aug 18 15:04:57 GMT 2021","Wed Aug 18 15:05:02 GMT 2021","5269","tests","log_out_test","","","","test_001_sign_in",""
"passed","Wed Aug 18 15:09:54 GMT 2021","Wed Aug 18 15:10:02 GMT 2021","8300","tests","sign_in_test","","","","test_001_sign_in",""
"passed","Wed Aug 18 15:05:34 GMT 2021","Wed Aug 18 15:05:36 GMT 2021","2070","tests","new_blog_post_test","","","","test_002_user_page",""
"passed","Wed Aug 18 15:04:26 GMT 2021","Wed Aug 18 15:04:26 GMT 2021","30","tests","cookie_test","","","","test_003_user_check",""
"passed","Wed Aug 18 15:09:32 GMT 2021","Wed Aug 18 15:09:34 GMT 2021","2069","tests","new_blog_post_test","","","","test_004_user_page_after",""
"passed","Wed Aug 18 15:04:26 GMT 2021","Wed Aug 18 15:04:29 GMT 2021","3286","tests","delete_article_test","","","","test_001_sign_in",""
"passed","Wed Aug 18 15:04:17 GMT 2021","Wed Aug 18 15:04:26 GMT 2021","8273","tests","cookie_test","","","","test_002_sign_in",""
"passed","Wed Aug 18 15:05:25 GMT 2021","Wed Aug 18 15:05:28 GMT 2021","3273","tests","multiple_page_list_test","","","","test_001_sign_in",""
"passed","Wed Aug 18 15:09:51 GMT 2021","Wed Aug 18 15:09:51 GMT 2021","29","tests","save_data_frm_ui_test","","","","test_002_user_check",""
"passed","Wed Aug 18 15:09:51 GMT 2021","Wed Aug 18 15:09:54 GMT 2021","2437","tests","save_data_frm_ui_test","","","","test_003_save_data",""
"passed","Wed Aug 18 15:04:29 GMT 2021","Wed Aug 18 15:04:29 GMT 2021","27","tests","delete_article_test","","","","test_002_user_check",""
"passed","Wed Aug 18 15:05:02 GMT 2021","Wed Aug 18 15:05:03 GMT 2021","1098","tests","log_out_test","","","","test_003_log_out",""
"passed","Wed Aug 18 15:05:02 GMT 2021","Wed Aug 18 15:05:02 GMT 2021","28","tests","log_out_test","","","","test_002_user_check",""
"passed","Wed Aug 18 15:04:44 GMT 2021","Wed Aug 18 15:04:57 GMT 2021","12183","tests","delete_article_test","","","","test_005_delete_article",""
"passed","Wed Aug 18 15:10:02 GMT 2021","Wed Aug 18 15:10:02 GMT 2021","27","tests","sign_in_test","","","","test_002_user_check",""
"passed","Wed Aug 18 15:05:30 GMT 2021","Wed Aug 18 15:05:34 GMT 2021","3247","tests","new_blog_post_test","","","","test_001_login",""
"passed","Wed Aug 18 15:09:46 GMT 2021","Wed Aug 18 15:09:51 GMT 2021","5298","tests","save_data_frm_ui_test","","","","test_001_sign_in",""
"passed","Wed Aug 18 15:09:34 GMT 2021","Wed Aug 18 15:09:46 GMT 2021","11443","tests","registration_test","","","","test_001_registration",""
"passed","Wed Aug 18 15:05:28 GMT 2021","Wed Aug 18 15:05:30 GMT 2021","2055","tests","multiple_page_list_test","","","","test_003_user_page",""
"passed","Wed Aug 18 15:04:42 GMT 2021","Wed Aug 18 15:04:44 GMT 2021","2053","tests","delete_article_test","","","","test_004_user_page",""
"passed","Wed Aug 18 15:05:08 GMT 2021","Wed Aug 18 15:05:08 GMT 2021","27","tests","mod_existing_data_test","","","","test_002_user_check",""
"broken","Wed Aug 18 15:05:30 GMT 2021","Wed Aug 18 15:05:30 GMT 2021","0","tests","multiple_page_list_test","","","","test_005_check_page_numbers",""
"passed","Wed Aug 18 15:04:17 GMT 2021","Wed Aug 18 15:04:17 GMT 2021","418","tests","cookie_test","","","","test_001_cookie",""
"passed","Wed Aug 18 15:05:30 GMT 2021","Wed Aug 18 15:05:30 GMT 2021","27","tests","multiple_page_list_test","","","","test_004_pages",""
"passed","Wed Aug 18 15:05:03 GMT 2021","Wed Aug 18 15:05:08 GMT 2021","5281","tests","mod_existing_data_test","","","","test_001_sign_in",""
