"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 12 22:36:52 GMT 2021","Thu Aug 12 22:36:57 GMT 2021","5018","tests","test_002","","","","test_001_sign_in",""
"broken","Thu Aug 12 22:37:02 GMT 2021","Thu Aug 12 22:37:02 GMT 2021","14","tests","test_003","","","","test_002_user_check",""
"passed","Thu Aug 12 22:37:02 GMT 2021","Thu Aug 12 22:37:18 GMT 2021","15709","tests","test_first","","","","test_registration",""
"passed","Thu Aug 12 22:37:24 GMT 2021","Thu Aug 12 22:37:40 GMT 2021","15921","tests","test_first","","","","test_new_blogpost",""
"passed","Thu Aug 12 22:37:18 GMT 2021","Thu Aug 12 22:37:24 GMT 2021","6377","tests","test_first","","","","test_sign_in",""
"passed","Thu Aug 12 22:36:52 GMT 2021","Thu Aug 12 22:36:52 GMT 2021","421","tests","test_001","","","","test_cookie",""
"broken","Thu Aug 12 22:37:02 GMT 2021","Thu Aug 12 22:37:02 GMT 2021","13","tests","test_003","","","","test_003_log_out",""
"passed","Thu Aug 12 22:36:57 GMT 2021","Thu Aug 12 22:36:57 GMT 2021","22","tests","test_002","","","","test_002_user_check",""
"broken","Thu Aug 12 22:36:57 GMT 2021","Thu Aug 12 22:37:02 GMT 2021","5012","tests","test_003","","","","test_001_sign_in",""
