"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 20:23:23 GMT 2021","Thu Aug 12 20:23:39 GMT 2021","16142","tests","test_first","","","","test_new_blogpost",""
"passed","Thu Aug 12 20:22:55 GMT 2021","Thu Aug 12 20:22:56 GMT 2021","595","tests","test_001","","","","test_cookie",""
"broken","Thu Aug 12 20:22:58 GMT 2021","Thu Aug 12 20:23:00 GMT 2021","2014","tests","test_003","","","","test_sign_in",""
"broken","Thu Aug 12 20:22:56 GMT 2021","Thu Aug 12 20:22:58 GMT 2021","2017","tests","test_002","","","","test_sign_in",""
"broken","Thu Aug 12 20:23:00 GMT 2021","Thu Aug 12 20:23:00 GMT 2021","16","tests","test_003","","","","test_003_log_out",""
"broken","Thu Aug 12 20:23:00 GMT 2021","Thu Aug 12 20:23:00 GMT 2021","17","tests","test_003","","","","test_002_user_check",""
"passed","Thu Aug 12 20:22:58 GMT 2021","Thu Aug 12 20:22:58 GMT 2021","27","tests","test_002","","","","test_user_check",""
"passed","Thu Aug 12 20:23:00 GMT 2021","Thu Aug 12 20:23:16 GMT 2021","15915","tests","test_first","","","","test_registration",""
"passed","Thu Aug 12 20:23:16 GMT 2021","Thu Aug 12 20:23:23 GMT 2021","6592","tests","test_first","","","","test_sign_in",""
