"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 22:57:57 GMT 2021","Tue Aug 17 22:58:05 GMT 2021","8249","tests","sign_in_test","","","","test_sign_in",""
"passed","Tue Aug 17 22:58:22 GMT 2021","Tue Aug 17 22:58:26 GMT 2021","3259","tests","test_003","","","","test_001_login",""
"passed","Tue Aug 17 22:57:32 GMT 2021","Tue Aug 17 22:57:34 GMT 2021","2049","tests","multiple_page_list_test","","","","test_003_user_page",""
"passed","Tue Aug 17 22:57:07 GMT 2021","Tue Aug 17 22:57:12 GMT 2021","5419","tests","mod_existing_data_test","","","","test_001_sign_in",""
"passed","Tue Aug 17 23:02:36 GMT 2021","Tue Aug 17 23:02:38 GMT 2021","2051","tests","test_delete_article","","","","test_004_user_page",""
"passed","Tue Aug 17 22:57:12 GMT 2021","Tue Aug 17 22:57:12 GMT 2021","23","tests","mod_existing_data_test","","","","test_002_user_check",""
"passed","Tue Aug 17 23:02:25 GMT 2021","Tue Aug 17 23:02:25 GMT 2021","22","tests","test_delete_article","","","","test_002_user_check",""
"passed","Tue Aug 17 22:58:14 GMT 2021","Tue Aug 17 22:58:22 GMT 2021","8256","tests","test_002","","","","test_001_sign_in",""
"passed","Tue Aug 17 22:57:55 GMT 2021","Tue Aug 17 22:57:55 GMT 2021","22","tests","save_data_frm_ui_test","","","","test_002_user_check",""
"passed","Tue Aug 17 22:58:22 GMT 2021","Tue Aug 17 22:58:22 GMT 2021","23","tests","test_002","","","","test_002_user_check",""
"passed","Tue Aug 17 22:58:26 GMT 2021","Tue Aug 17 23:02:21 GMT 2021","235716","tests","test_003","","","","test_002_new_blog_post",""
"passed","Tue Aug 17 22:57:32 GMT 2021","Tue Aug 17 22:57:32 GMT 2021","22","tests","multiple_page_list_test","","","","test_002_user_check",""
"passed","Tue Aug 17 22:57:50 GMT 2021","Tue Aug 17 22:57:55 GMT 2021","5242","tests","save_data_frm_ui_test","","","","test_001_sign_in",""
"passed","Tue Aug 17 22:57:29 GMT 2021","Tue Aug 17 22:57:32 GMT 2021","3244","tests","multiple_page_list_test","","","","test_001_sign_in",""
"passed","Tue Aug 17 23:02:25 GMT 2021","Tue Aug 17 23:02:36 GMT 2021","11398","tests","test_delete_article","","","","test_003_new_blog_post",""
"passed","Tue Aug 17 22:57:12 GMT 2021","Tue Aug 17 22:57:29 GMT 2021","16604","tests","mod_existing_data_test","","","","test_003_mod_data",""
"passed","Tue Aug 17 23:02:38 GMT 2021","Tue Aug 17 23:02:50 GMT 2021","12160","tests","test_delete_article","","","","test_005_delete_article",""
"passed","Tue Aug 17 22:57:55 GMT 2021","Tue Aug 17 22:57:57 GMT 2021","2118","tests","save_data_frm_ui_test","","","","test_003_save_data",""
"passed","Tue Aug 17 22:57:38 GMT 2021","Tue Aug 17 22:57:50 GMT 2021","11382","tests","registration_test","","","","test_registration",""
"passed","Tue Aug 17 22:58:06 GMT 2021","Tue Aug 17 22:58:14 GMT 2021","8295","tests","test_001","","","","test_002_sign_in",""
"passed","Tue Aug 17 22:58:05 GMT 2021","Tue Aug 17 22:58:06 GMT 2021","383","tests","test_001","","","","test_001_cookie",""
"passed","Tue Aug 17 22:58:22 GMT 2021","Tue Aug 17 22:58:22 GMT 2021","46","tests","test_002","","","","test_003_log_out",""
"passed","Tue Aug 17 22:57:34 GMT 2021","Tue Aug 17 22:57:38 GMT 2021","4027","tests","multiple_page_list_test","","","","test_005_pages",""
"passed","Tue Aug 17 23:02:21 GMT 2021","Tue Aug 17 23:02:25 GMT 2021","3267","tests","test_delete_article","","","","test_001_sign_in",""
