"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 19:16:53 GMT 2021","Thu Aug 12 19:16:59 GMT 2021","6525","tests","test_first","","","","test_sign_in",""
"failed","Thu Aug 12 19:16:37 GMT 2021","Thu Aug 12 19:16:37 GMT 2021","16","tests","test_003","","","","test_003_log_out",""
"broken","Thu Aug 12 19:16:31 GMT 2021","Thu Aug 12 19:16:31 GMT 2021","3","tests","test_002","","","","test_user_check",""
"passed","Thu Aug 12 19:16:31 GMT 2021","Thu Aug 12 19:16:37 GMT 2021","5871","tests","test_003","","","","test_001_sign_in",""
"broken","Thu Aug 12 19:16:29 GMT 2021","Thu Aug 12 19:16:31 GMT 2021","2005","tests","test_002","","","","test_sign_in",""
"passed","Thu Aug 12 19:16:37 GMT 2021","Thu Aug 12 19:16:37 GMT 2021","27","tests","test_003","","","","test_002_user_check",""
"passed","Thu Aug 12 19:16:29 GMT 2021","Thu Aug 12 19:16:29 GMT 2021","518","tests","test_001","","","","test_cookie",""
"passed","Thu Aug 12 19:16:59 GMT 2021","Thu Aug 12 19:17:15 GMT 2021","16018","tests","test_first","","","","test_new_blogpost",""
"passed","Thu Aug 12 19:16:37 GMT 2021","Thu Aug 12 19:16:53 GMT 2021","15837","tests","test_first","","","","test_registration",""
