"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 17:44:03 GMT 2021","Fri Aug 13 17:44:09 GMT 2021","6479","tests","test_first","","","","test_sign_in",""
"broken","Fri Aug 13 17:43:47 GMT 2021","Fri Aug 13 17:43:47 GMT 2021","18","tests","test_003","","","","test_002_new_blog_post",""
"passed","Fri Aug 13 17:43:30 GMT 2021","Fri Aug 13 17:43:38 GMT 2021","8349","tests","test_001","","","","test_002_sign_in",""
"passed","Fri Aug 13 17:43:47 GMT 2021","Fri Aug 13 17:44:03 GMT 2021","15887","tests","test_first","","","","test_registration",""
"passed","Fri Aug 13 17:43:29 GMT 2021","Fri Aug 13 17:43:30 GMT 2021","516","tests","test_001","","","","test_001_cookie",""
"passed","Fri Aug 13 17:43:38 GMT 2021","Fri Aug 13 17:43:47 GMT 2021","8322","tests","test_002","","","","test_001_sign_in",""
"passed","Fri Aug 13 17:43:47 GMT 2021","Fri Aug 13 17:43:47 GMT 2021","69","tests","test_002","","","","test_003_log_out",""
"broken","Fri Aug 13 17:43:47 GMT 2021","Fri Aug 13 17:43:47 GMT 2021","16","tests","test_003","","","","test_003_log_out",""
"passed","Fri Aug 13 17:43:47 GMT 2021","Fri Aug 13 17:43:47 GMT 2021","28","tests","test_002","","","","test_002_user_check",""
"passed","Fri Aug 13 17:43:21 GMT 2021","Fri Aug 13 17:43:29 GMT 2021","8391","tests","sign_in_test","","","","test_sign_in",""
"passed","Fri Aug 13 17:44:09 GMT 2021","Fri Aug 13 17:44:25 GMT 2021","16082","tests","test_first","","","","test_new_blogpost",""
