"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 20:56:04 GMT 2021","Fri Aug 13 20:56:09 GMT 2021","5008","tests","sign_in_test","","","","test_sign_in",""
"broken","Fri Aug 13 20:56:25 GMT 2021","Fri Aug 13 20:56:30 GMT 2021","5011","tests","test_003","","","","test_002_new_blog_post",""
"passed","Fri Aug 13 20:56:46 GMT 2021","Fri Aug 13 20:56:52 GMT 2021","6432","tests","test_first","","","","test_sign_in",""
"broken","Fri Aug 13 20:56:14 GMT 2021","Fri Aug 13 20:56:19 GMT 2021","5011","tests","test_002","","","","test_001_sign_in",""
"broken","Fri Aug 13 20:56:19 GMT 2021","Fri Aug 13 20:56:19 GMT 2021","4","tests","test_002","","","","test_002_user_check",""
"broken","Fri Aug 13 20:56:09 GMT 2021","Fri Aug 13 20:56:14 GMT 2021","5009","tests","test_001","","","","test_002_sign_in",""
"passed","Fri Aug 13 20:56:52 GMT 2021","Fri Aug 13 20:57:08 GMT 2021","16014","tests","test_first","","","","test_new_blogpost",""
"broken","Fri Aug 13 20:56:20 GMT 2021","Fri Aug 13 20:56:20 GMT 2021","3","tests","test_002","","","","test_003_log_out",""
"broken","Fri Aug 13 20:56:09 GMT 2021","Fri Aug 13 20:56:09 GMT 2021","4","tests","test_001","","","","test_001_cookie",""
"broken","Fri Aug 13 20:56:20 GMT 2021","Fri Aug 13 20:56:25 GMT 2021","5011","tests","test_003","","","","test_sign_in",""
"passed","Fri Aug 13 20:56:30 GMT 2021","Fri Aug 13 20:56:46 GMT 2021","15986","tests","test_first","","","","test_registration",""
