"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 12:35:23 GMT 2021","Fri Aug 13 12:35:28 GMT 2021","5019","tests","test_003","","","","test_002_sign_in",""
"broken","Fri Aug 13 12:35:29 GMT 2021","Fri Aug 13 12:35:29 GMT 2021","15","tests","test_003","","","","test_002_user_check",""
"passed","Fri Aug 13 12:35:51 GMT 2021","Fri Aug 13 12:36:07 GMT 2021","15835","tests","test_first","","","","test_new_blogpost",""
"passed","Fri Aug 13 12:35:44 GMT 2021","Fri Aug 13 12:35:51 GMT 2021","6454","tests","test_first","","","","test_sign_in",""
"passed","Fri Aug 13 12:35:07 GMT 2021","Fri Aug 13 12:35:15 GMT 2021","8237","tests","test_001","","","","test_002_sign_in",""
"passed","Fri Aug 13 12:35:29 GMT 2021","Fri Aug 13 12:35:44 GMT 2021","15733","tests","test_first","","","","test_registration",""
"broken","Fri Aug 13 12:35:29 GMT 2021","Fri Aug 13 12:35:29 GMT 2021","13","tests","test_003","","","","test_003_log_out",""
"passed","Fri Aug 13 12:35:15 GMT 2021","Fri Aug 13 12:35:23 GMT 2021","8251","tests","test_002","","","","test_001_sign_in",""
"passed","Fri Aug 13 12:35:06 GMT 2021","Fri Aug 13 12:35:07 GMT 2021","441","tests","test_001","","","","test_002_cookie",""
