"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 21:10:15 GMT 2021","Thu Aug 12 21:10:31 GMT 2021","15859","tests","test_first","","","","test_new_blogpost",""
"passed","Thu Aug 12 21:09:48 GMT 2021","Thu Aug 12 21:09:48 GMT 2021","22","tests","test_002","","","","test_002_user_check",""
"passed","Thu Aug 12 21:10:09 GMT 2021","Thu Aug 12 21:10:15 GMT 2021","6458","tests","test_first","","","","test_sign_in",""
"passed","Thu Aug 12 21:09:42 GMT 2021","Thu Aug 12 21:09:43 GMT 2021","433","tests","test_001","","","","test_cookie",""
"broken","Thu Aug 12 21:09:53 GMT 2021","Thu Aug 12 21:09:53 GMT 2021","14","tests","test_003","","","","test_002_user_check",""
"broken","Thu Aug 12 21:09:53 GMT 2021","Thu Aug 12 21:09:53 GMT 2021","13","tests","test_003","","","","test_003_log_out",""
"passed","Thu Aug 12 21:09:53 GMT 2021","Thu Aug 12 21:10:09 GMT 2021","15730","tests","test_first","","","","test_registration",""
"broken","Thu Aug 12 21:09:43 GMT 2021","Thu Aug 12 21:09:48 GMT 2021","5035","tests","test_002","","","","test_001_sign_in",""
"broken","Thu Aug 12 21:09:48 GMT 2021","Thu Aug 12 21:09:53 GMT 2021","5014","tests","test_003","","","","test_001_sign_in",""
